ProblemName,Algorithm,Alpha,Iterations,FuncValue,Gradient,TimeTaken(s),HessianModified,Solved,Max_Iterations,Time_Limit,Descent_Direction
1_bqp1var.txt,BFGS,0.0100001,431,-0.249754,0.00098258,0.010042,0,Yes,No,No,No
1_ex4_1_1.txt,BFGS,0.0100001,1042,-0.519934,0.00098227,0.0732633,0,Yes,No,No,No
1_ex4_1_2.txt,BFGS,0.0100001,2989,-663.499,174.396,4.10748,0,No,No,No,No
1_ex4_1_3.txt,BFGS,0.0100001,1011,-443.671,0.000985858,0.0510238,0,Yes,No,No,No
1_ex4_1_4.txt,BFGS,0.0100001,814,6.16694e-05,0.000994459,0.027201,0,Yes,No,No,No
1_ex4_1_6.txt,BFGS,0.0100001,553,7.00001,0.00722978,0.0181463,0,No,No,No,No
1_ex4_1_7.txt,BFGS,0.0100001,675,-7.49998,0.000996002,0.031637,0,Yes,No,No,No
1_median.txt,BFGS,0.0100001,10001,nan,nan,18.4788,0,No,Yes,No,Yes
1_median_eps.txt,BFGS,0.0100001,189,4.94253,0.305477,0.5104,0,No,No,No,No
2_AluffiPentini.txt,BFGS,0.0100001,283,-0.152141,0.000996602,0.0260637,0,Yes,No,No,No
2_BeckerLago.txt,BFGS,0.0100001,534,0.000247724,0.000990895,0.430571,0,Yes,No,No,No
2_Camel3.txt,BFGS,0.0100001,1085,0.607511,1.43497,0.514781,0,No,No,No,No
2_DekkersAarts.txt,BFGS,0.0100001,36,9.22237e+06,3.68076e+12,0.0261119,0,No,No,No,Yes
2_GoldPrice.txt,BFGS,0.0100001,10,1521.89,1.07136e+08,0.0618911,0,No,No,No,Yes
2_Hosaki.txt,BFGS,0.0100001,8,-0.00550792,0.0326348,0.0142518,0,No,No,No,Yes
2_ModRosenbrock.txt,BFGS,0.0100001,1339,0.605624,4.44486,0.806647,0,No,No,No,No
2_MultiGauss.txt,BFGS,0.0100001,1,0,4.91247e-05,0.00293771,0,Yes,No,No,No
2_beale.txt,BFGS,0.0100001,1549,7.38806e+08,2.24008e+26,1.88954,0,No,No,No,No
2_brownbs.txt,BFGS,0.0100001,1093,9.99998e+11,2.63044e+08,0.395325,0,No,No,No,Yes
2_camel1.txt,BFGS,0.0100001,6,58.5951,29213.5,0.00213388,0,No,No,No,Yes
2_camel6.txt,BFGS,0.0100001,2,1.38815,11.8914,0.00108073,0,No,No,No,Yes
2_cliff.txt,BFGS,0.0100001,10001,nan,-nan,3.01021,0,No,Yes,No,Yes
2_concha1.txt,BFGS,0.0100001,1517,5.32737e+08,2.46815e+09,0.344992,0,No,No,No,No
2_concha2.txt,BFGS,0.0100001,934,9.95952e+08,8421.28,13.5684,0,No,No,No,No
2_concha3.txt,BFGS,0.0100001,73,8.27369e+08,2.35751e+09,0.0207934,0,No,No,No,Yes
2_concha4.txt,BFGS,0.0100001,3,9.95789e+08,4.22175e+10,0.0419447,0,No,No,No,Yes
2_concha8.txt,BFGS,0.0100001,10001,nan,nan,74.8009,0,No,Yes,No,Yes
2_concha9.txt,BFGS,0.0100001,23,9.95955e+08,121595,0.144132,0,No,No,No,Yes
2_concha10.txt,BFGS,0.0100001,2,9.95952e+08,144.349,0.0120156,0,No,No,No,Yes
2_concha11.txt,BFGS,0.0100001,5,9.95871e+08,2.81179e+08,0.0290841,0,No,No,No,Yes
2_concha12.txt,BFGS,0.0100001,2,1.44277e+09,4.04052e+11,0.000911308,0,No,No,No,Yes
2_cube.txt,BFGS,0.0100001,6,8.29629e+16,4.43393e+30,0.000948179,0,No,No,No,Yes
2_denschna.txt,BFGS,0.0100001,10001,-nan,nan,1.3163,0,No,Yes,No,Yes
2_denschnb.txt,BFGS,0.0100001,1371,854019,3.41745e+06,0.190062,0,No,No,No,No
2_denschnc.txt,BFGS,0.0100001,10001,-nan,nan,2.91676,0,No,Yes,No,Yes
2_denschnf.txt,BFGS,0.0100001,3288,0.000375046,0.233018,1.32514,0,No,No,No,No
2_draper1.txt,BFGS,0.0100001,6,5.85383,796.699,0.131168,0,No,No,No,Yes
2_drapero.txt,BFGS,0.0100001,10001,nan,nan,4.74401,0,No,Yes,No,Yes
2_esfl.txt,BFGS,0.0100001,2,0,249765,48.3693,0,No,No,No,Yes
2_ex4_1_5.txt,BFGS,0.0100001,2304,126.645,51605.5,0.23631,0,No,No,No,Yes
2_ex005.txt,BFGS,0.0100001,2,-8.30459e-12,4.23407e-11,0.000192057,0,Yes,No,No,Yes
2_ex8_1_3.txt,BFGS,0.0100001,2781,6.27235e+14,4.98242e+24,8.29362,0,No,No,No,No
2_ex8_1_4.txt,BFGS,0.0100001,2598,988.918,2.04015e+06,0.308986,0,No,No,No,Yes
2_ex8_1_5.txt,BFGS,0.0100001,683,322072,3.85812e+10,0.0830054,0,No,No,No,Yes
2_ex8_1_6.txt,BFGS,0.0100001,1,0,3.13089e-15,0.000648818,0,Yes,No,No,No
2_fermat2_eps.txt,BFGS,0.0100001,32,194.744,8.99635,0.0256627,0,No,No,No,Yes
2_fermat_eps.txt,BFGS,0.0100001,2,0,8.99998,0.00209677,0,No,No,No,Yes
2_gold.txt,BFGS,0.0100001,8,957.719,4.91334e+07,0.0228542,0,No,No,No,Yes
2_himmelbb.txt,BFGS,0.0100001,6,9.53321e+48,1.25031e+95,0.00376292,0,No,No,No,Yes
2_himmelbg.txt,BFGS,0.0100001,1,0,9.88132e-324,0.000295294,0,Yes,No,No,No
2_himmelbh.txt,BFGS,0.0100001,5,-1.87473e+08,1.12417e+12,0.000372741,0,No,No,No,Yes
2_himmelp1.txt,BFGS,0.0100001,7,25.4123,0.0633642,0.00875139,0,No,No,No,Yes
2_hs001.txt,BFGS,0.0100001,9,6.4801e+13,8.64815e+22,0.0011492,0,No,No,No,Yes
2_hs002.txt,BFGS,0.0100001,5,4.23632e+13,4.41824e+22,0.000784526,0,No,No,No,Yes
2_hs003.txt,BFGS,0.0100001,10001,nan,-nan,0.825032,0,No,Yes,No,Yes
2_hs3mod.txt,BFGS,0.0100001,4,-3.7429e+29,6.99921e+100,0.000469667,0,No,No,No,Yes
2_hs004.txt,BFGS,0.0100001,15,-3.79062e+10,3.75734e+10,0.000981772,0,No,No,No,Yes
2_jensmp.txt,BFGS,0.0100001,10001,nan,nan,32.4981,0,No,Yes,No,Yes
2_logros.txt,Error in Ibex Function Syntax,0,0,0,0,0,0,No,No,Yes,No
2_maratosb.txt,BFGS,0.0100001,2538,-0.45486,626586,0.333571,0,No,No,No,No
2_median_vareps.txt,BFGS,0.0100001,10001,nan,nan,73.1005,0,No,Yes,No,Yes
2_mexhat.txt,BFGS,0.0100001,4,5.40711e+16,1.18729e+30,0.001435,0,No,No,No,Yes
2_model2.txt,BFGS,0.0100001,10001,-nan,nan,14.6739,0,No,Yes,No,Yes
2_model19.txt,BFGS,0.0100001,10001,-nan,nan,42.9558,0,No,Yes,No,Yes
2_model22.txt,BFGS,0.0100001,7,1.07266e+06,5.96899e+07,0.0557133,0,No,No,No,Yes
2_model36.txt,BFGS,0.0100001,10001,nan,nan,33.1876,0,No,Yes,No,Yes
2_model39.txt,BFGS,0.0100001,10001,-nan,nan,34.89,0,No,Yes,No,Yes
2_nasty.txt,BFGS,0.0100001,10001,nan,-nan,0.346464,0,No,Yes,No,Yes
2_price.txt,BFGS,0.0100001,16,507426,2.73214e+14,0.00863482,0,No,No,No,No
2_ratkasymptotic.txt,BFGS,0.0100001,15,475751,0.000863759,0.284101,0,Yes,No,No,Yes
2_rbrock.txt,BFGS,0.0100001,4,62833.6,2.02297e+09,0.000645171,0,No,No,No,Yes
2_rosenbr.txt,BFGS,0.0100001,10001,nan,nan,1.24971,0,No,Yes,No,Yes
2_s201.txt,BFGS,0.0100001,1687,94.5347,1512.56,0.102197,0,No,No,No,No
